# ----------------------------------------
# All Web Site Data
# Microplants Age Survey Report
# 20180620-20190623
# ----------------------------------------

Date,Hour,Minute,Event Action,Event Label,Total Events
20180629,12,21,Answer: 18+,SessionID: 32a8e9e2f7f2c80e8e2076b84bd7948994ec7c35df4c0f26e92101da0b7a228a,1
20180629,14,17,Answer: 11-17,SessionID: 06fb3bdfb71c978d6bca7a281c5d680d5351db4774441f26db57c0ab95ea9d03,1
20180629,14,26,Answer: Skip,SessionID: F64817e654dd5a5da3c1dcda693020b5239780d469de453360fe7de94ad476ea,1
20180630,10,01,Answer: 11-17,SessionID: 59b18d57b4ff8f3a09633e0ad4565621f17e69b88a81e007dbce12f470c4af6d,1
20180630,10,13,Answer: 11-17,SessionID: E2a03235175c414674596f78265ffac999f8789dd057c74588b7533992149c8b,1
20180630,10,36,Answer: 10 and Under,SessionID: Cbbc3a79ac3e7e9331f0b31be6f2d7908f4bc8a40a2863b346df821a3731fdba,1
20180630,10,43,Answer: 11-17,SessionID: 4e702030b62970e0cad10bea3b0d77cdadeb8b1d9089be939bd06b32da4dc6ec,1
20180630,11,16,Answer: 11-17,SessionID: 219514c7a3e63018f94ac2b39a7c7e453f7baf3c8fda2694eb49c58be9f5b06f,1
20180630,11,31,Answer: Skip,SessionID: B3658d029f136e1a8c2fe47f36ca3d42d3cb3ca12ff45cf39fbc3c8a4c6024ee,1
20180630,11,52,Answer: Skip,SessionID: 9c82b4fa7cfb3dd3f0c89f80435715c6eacb356323d30db95254e9698854a133,1
20180630,12,06,Answer: 18+,SessionID: 245193a1a39c6a751857cadacb5b3454e88556fc212e84f82bda1884ec10be5f,1
20180630,12,24,Answer: 10 and Under,SessionID: A64ad043f5b157b54b8f3f4b967728f942a27df0633fe3c03dfa6f04b6457ab8,1
20180630,12,40,Answer: 11-17,SessionID: E27803223e74b1caea8b48294f6b0af0f0840f0e02d9cfdb330351fb99992560,1
20180630,12,58,Answer: Skip,SessionID: 551ee3fbd042e76e9000f1701fdedbdf1bc5a4ef31634d7eafc6cdd9a0c7dddd,1
20180630,13,13,Answer: 10 and Under,SessionID: B078e625259cbd2df24ec3075057a10ad8ffbe842f881f089244f631ee7c2d8c,1
20180630,13,29,Answer: 11-17,SessionID: 1b75a1e2417f9cbe116a08aed029b7cb182dab8b905cc7adca5962e923f11fb2,1
20180630,13,37,Answer: 10 and Under,SessionID: 7a3bac5182883dc28c44a82765dbd746b663d3661aca964425d7bd63d0596470,1
20180630,13,44,Answer: Skip,SessionID: 7a3bac5182883dc28c44a82765dbd746b663d3661aca964425d7bd63d0596470,1
20180630,13,48,Answer: 10 and Under,SessionID: 8f629389f73afda7a5445301323f105ec65b569d151011f2c7e01cf5131b5dad,1
20180630,13,50,Answer: 11-17,SessionID: 66d57127359e5122e0776815f438d5ad25a7da8cb63a9c94337581643b41a0f1,1
20180630,13,52,Answer: 10 and Under,SessionID: 21d45815c1dc0a21c9bf8af754446ca4148cc6233ba29c07af17547b1228fdbc,1
20180630,13,53,Answer: 18+,SessionID: 01d1fffb1678aeb7c16339f188e6b4c11cd4c1bc4158307631c18453feaa1ff4,1
20180630,13,54,Answer: 10 and Under,SessionID: 1f19490ee17ed84b4c0ef9cf77f4227dcdd024ccab5a917ae23f750f50a99c2c,1
20180630,13,57,Answer: 18+,SessionID: 308ac7c2446738f5dc6d0d3dacf16fbf2b48cc8be9928d5d7e2e337e9b1e06d2,1
20180630,13,59,Answer: 18+,SessionID: 71deadd86ae7abb80b65fe123f09fca95eeed56715b2fdf7c94fd52d38005596,1
20180630,14,05,Answer: 18+,SessionID: 71deadd86ae7abb80b65fe123f09fca95eeed56715b2fdf7c94fd52d38005596,1
20180630,14,15,Answer: 11-17,SessionID: 1e50ad2e351193a076999a56e65807cd77fcf2c4c6c4915dc0671d6ed749dc20,1
20180630,14,28,Answer: 11-17,SessionID: 3991092716c93a129aef586b08dbdc436fc06dd90d49e307f00083cb93b41c7f,1
20180630,14,30,Answer: 10 and Under,SessionID: 86feb3672e3b2f9c905123edaa8eb25bd5170a7bdb8fb8f330c590155e1d009b,1
20180630,14,43,Answer: 11-17,SessionID: 90497155df5bcd93cbeaf7b9b21e91d07cfdea77b7c3bc020962077919edca25,1
20180630,14,52,Answer: 18+,SessionID: 22ad394470604bb11b001ea7dbfc49f01ad5233759ec5ce75c87562bada5d45d,1
20180630,14,55,Answer: 10 and Under,SessionID: Ac3e7de1a9530600baed021e3a27ffc06832a2eb7d503e61e2bd500cbf2dde22,1
20180630,15,01,Answer: 18+,SessionID: 48d28a3138c2eaf7272282df09d78bc730409e854d7241f72cc2a3d60342f445,1
20180630,15,05,Answer: 10 and Under,SessionID: 48d28a3138c2eaf7272282df09d78bc730409e854d7241f72cc2a3d60342f445,1
20180701,09,51,Answer: 18+,SessionID: 48d28a3138c2eaf7272282df09d78bc730409e854d7241f72cc2a3d60342f445,1
20180701,09,56,Answer: 18+,SessionID: 8280a8da58013047f587a875a033b5191c98dd05c40069a98d4f03c4f8cdb842,1
20180701,10,01,Answer: 11-17,SessionID: 8280a8da58013047f587a875a033b5191c98dd05c40069a98d4f03c4f8cdb842,1
20180701,10,07,Answer: 18+,SessionID: D7429522d5bb747dc6eb6c39914b38df6ff4136b4b0b774b64ffa35797863823,1
20180701,10,22,Answer: Skip,SessionID: E59abaacd0012bdfef6ee16bb2d9b7a4e41fafd348ec136e77cd03f8957c2bd5,1
